generation,genome_idx,fitness,n_hidden,gene_in,gene_out,weight,enabled,innov
41,0,2465.3833333333337,3,0,11,-0.859609,0,1
41,0,2465.3833333333337,3,0,12,-1.910212,1,2
41,0,2465.3833333333337,3,0,13,-1.518371,1,3
41,0,2465.3833333333337,3,1,11,1.770187,1,4
41,0,2465.3833333333337,3,1,12,-0.692786,1,5
41,0,2465.3833333333337,3,1,13,-0.575705,1,6
41,0,2465.3833333333337,3,2,11,0.457600,1,7
41,0,2465.3833333333337,3,2,12,-0.141379,1,8
41,0,2465.3833333333337,3,2,13,0.489544,1,9
41,0,2465.3833333333337,3,3,11,2.405860,1,10
41,0,2465.3833333333337,3,3,12,-0.198131,1,11
41,0,2465.3833333333337,3,3,13,-0.366905,1,12
41,0,2465.3833333333337,3,4,11,0.083157,1,13
41,0,2465.3833333333337,3,4,12,-1.951859,1,14
41,0,2465.3833333333337,3,4,13,2.680486,1,15
41,0,2465.3833333333337,3,5,11,-0.348335,1,16
41,0,2465.3833333333337,3,5,12,0.491194,1,17
41,0,2465.3833333333337,3,5,13,2.405397,1,18
41,0,2465.3833333333337,3,6,11,-0.552793,1,19
41,0,2465.3833333333337,3,6,12,-0.845930,1,20
41,0,2465.3833333333337,3,6,13,0.233822,1,21
41,0,2465.3833333333337,3,7,11,1.471233,1,22
41,0,2465.3833333333337,3,7,12,-0.380660,1,23
41,0,2465.3833333333337,3,7,13,-1.152330,1,24
41,0,2465.3833333333337,3,8,11,-1.553869,1,25
41,0,2465.3833333333337,3,8,12,0.351468,1,26
41,0,2465.3833333333337,3,8,13,2.349092,1,27
41,0,2465.3833333333337,3,9,11,1.012558,1,28
41,0,2465.3833333333337,3,9,12,0.494998,1,29
41,0,2465.3833333333337,3,9,13,0.071217,1,30
41,0,2465.3833333333337,3,10,11,-1.447095,1,31
41,0,2465.3833333333337,3,10,12,-0.233025,1,32
41,0,2465.3833333333337,3,10,13,-0.243533,0,33
41,0,2465.3833333333337,3,0,14,-1.535856,0,147
41,0,2465.3833333333337,3,14,11,-0.072864,1,148
41,0,2465.3833333333337,3,0,15,0.606225,1,36
41,0,2465.3833333333337,3,15,14,0.901941,1,37
41,0,2465.3833333333337,3,10,16,0.500805,1,63
41,0,2465.3833333333337,3,16,13,0.375329,1,64
41,1,397.6833333333334,3,0,11,-0.722050,0,1
41,1,397.6833333333334,3,0,12,-0.143496,1,2
41,1,397.6833333333334,3,0,13,-0.027077,1,3
41,1,397.6833333333334,3,1,11,1.470406,1,4
41,1,397.6833333333334,3,1,12,-2.207415,1,5
41,1,397.6833333333334,3,1,13,0.084466,1,6
41,1,397.6833333333334,3,2,11,0.521181,1,7
41,1,397.6833333333334,3,2,12,0.268856,1,8
41,1,397.6833333333334,3,2,13,0.512015,1,9
41,1,397.6833333333334,3,3,11,2.309020,1,10
41,1,397.6833333333334,3,3,12,-1.227860,1,11
41,1,397.6833333333334,3,3,13,-1.272501,1,12
41,1,397.6833333333334,3,4,11,-0.324574,1,13
41,1,397.6833333333334,3,4,12,-1.720570,1,14
41,1,397.6833333333334,3,4,13,2.494984,1,15
41,1,397.6833333333334,3,5,11,-0.347055,1,16
41,1,397.6833333333334,3,5,12,0.607201,1,17
